ts, readratio, wal, ops, inserts, lookups, tree_size_gb
0,5,false,200,190,10,2.75233
1,5,false,974382,925632,48750,2.75233
2,5,false,957267,909250,48017,2.75233
3,5,false,955619,907897,47722,2.75233
4,5,false,977078,928051,49028,2.75233
5,5,false,969190,920955,48236,2.75233
6,5,false,945529,898585,46944,2.75233
7,5,false,944443,897157,47286,2.75233
8,5,false,937148,890348,46801,2.75233
9,5,false,932460,886091,46369,2.75233
10,5,false,937918,891081,46837,2.75233
11,5,false,937805,891072,46733,2.75233
12,5,false,935288,888526,46762,2.75233
13,5,false,936414,889812,46602,2.75233
14,5,false,936954,890602,46352,2.75233
15,5,false,961046,913186,47861,2.75233
16,5,false,958669,910764,47905,2.75233
17,5,false,962061,914277,47784,2.75233
18,5,false,931618,885532,46087,2.75233
19,5,false,950670,903125,47546,2.75233
20,5,false,960636,913053,47583,2.75233
21,5,false,945172,897887,47285,2.75233
22,5,false,940823,893480,47343,2.75233
23,5,false,949507,901902,47607,2.75233
24,5,false,963322,914895,48428,2.75233
25,5,false,942529,895203,47328,2.75233
26,5,false,946271,899008,47263,2.75233
27,5,false,952730,905128,47603,2.75233
28,5,false,965082,916426,48657,2.75233
29,5,false,942808,895712,47097,2.75233
0,50,false,50,29,22,2.75233
1,50,false,1321215,661269,659947,2.75233
2,50,false,1350603,675351,675253,2.75233
3,50,false,1343429,670995,672434,2.75233
4,50,false,1353494,677065,676430,2.75233
5,50,false,1316272,657887,658386,2.75233
6,50,false,1330823,666182,664642,2.75233
7,50,false,1342306,670584,671723,2.75233
8,50,false,1304557,652973,651586,2.75233
9,50,false,1353536,676797,676739,2.75233
10,50,false,1297483,649626,647857,2.75233
11,50,false,1348961,674429,674534,2.75233
12,50,false,1307102,653457,653645,2.75233
13,50,false,1338619,668454,670165,2.75233
14,50,false,1326919,663341,663579,2.75233
15,50,false,1320473,660275,660199,2.75233
16,50,false,1352385,677891,674494,2.75233
17,50,false,1294752,647534,647218,2.75233
18,50,false,1351990,675843,676150,2.75233
19,50,false,1301959,651221,650739,2.75233
20,50,false,1347211,673578,673635,2.75233
21,50,false,1313156,657521,655636,2.75233
22,50,false,1330446,665745,664702,2.75233
23,50,false,1331434,664529,666907,2.75233
24,50,false,1318118,659062,659057,2.75233
25,50,false,1356178,677330,678849,2.75233
26,50,false,1293226,646947,646280,2.75233
27,50,false,1352515,676672,675843,2.75233
28,50,false,1341613,670724,670890,2.75233
29,50,false,1356887,678419,678468,2.75233
0,95,false,45,2,44,2.75233
1,95,false,2183369,109037,2074334,2.75233
2,95,false,2215384,110854,2104530,2.75233
3,95,false,2127308,106508,2020802,2.75233
4,95,false,2232421,111405,2121018,2.75233
5,95,false,2237683,111627,2126058,2.75233
6,95,false,2177682,108446,2069238,2.75233
7,95,false,2183608,109540,2074070,2.75233
8,95,false,2239141,111445,2127697,2.75233
9,95,false,2239664,112468,2127198,2.75233
10,95,false,2146356,107494,2038864,2.75233
11,95,false,2211383,110493,2100893,2.75233
12,95,false,2231298,112083,2119217,2.75233
13,95,false,2239055,112323,2126734,2.75233
14,95,false,2136567,107270,2029297,2.75233
15,95,false,2225621,111212,2114411,2.75233
16,95,false,2239570,112326,2127246,2.75233
17,95,false,2239706,112481,2127226,2.75233
18,95,false,2129846,106776,2023071,2.75233
19,95,false,2229665,111745,2117921,2.75233
20,95,false,2240938,112478,2128462,2.75233
21,95,false,2233826,111375,2122452,2.75233
22,95,false,2130687,106514,2024175,2.75233
23,95,false,2236875,111299,2125578,2.75233
24,95,false,2236827,111849,2124979,2.75233
25,95,false,2175000,108447,2066554,2.75233
26,95,false,2191897,109777,2082120,2.75233
27,95,false,2239602,112440,2127163,2.75233
28,95,false,2238409,111396,2127015,2.75233
29,95,false,2147895,107487,2040409,2.75233
0,100,false,57,0,58,2.75233
1,100,false,2334558,0,2334561,2.75233
2,100,false,2406342,0,2406344,2.75233
3,100,false,2414832,0,2414834,2.75233
4,100,false,2298871,0,2298872,2.75233
5,100,false,2407940,0,2407942,2.75233
6,100,false,2416235,0,2416236,2.75233
7,100,false,2415055,0,2415057,2.75233
8,100,false,2296758,0,2296760,2.75233
9,100,false,2415414,0,2415416,2.75233
10,100,false,2419460,0,2419461,2.75233
11,100,false,2393683,0,2393684,2.75233
12,100,false,2395236,0,2395238,2.75233
13,100,false,2418538,0,2418540,2.75233
14,100,false,2417815,0,2417816,2.75233
15,100,false,2421319,0,2421321,2.75233
16,100,false,2316703,0,2316704,2.75233
17,100,false,2390880,0,2390881,2.75233
18,100,false,2419058,0,2419060,2.75233
19,100,false,2421162,0,2421163,2.75233
20,100,false,2421914,0,2421915,2.75233
21,100,false,2316096,0,2316096,2.75233
22,100,false,2386877,0,2386880,2.75233
23,100,false,2415356,0,2415358,2.75233
24,100,false,2418984,0,2418987,2.75233
25,100,false,2419998,0,2420000,2.75233
26,100,false,2310971,0,2310972,2.75233
27,100,false,2403302,0,2403304,2.75233
28,100,false,2420484,0,2420487,2.75233
29,100,false,2420808,0,2420811,2.75233
